iteration,curr_best,new_sol_score,curr_temp
0,0,1248251,10000.0
1,1248251,1248251,4902.631842044826
2,1248251,1248251,2928.9808244665555
3,1248251,1248743,2245.234559506819
4,1248743,1249447,1904.8272072875147
5,1249447,1253412,1698.6162779714457
6,1253412,1265896,1558.5119459497985
7,1265896,1265896,1456.0206399872861
8,1265896,1265896,1377.1105949298212
9,1265896,1265896,1314.0468278513538
10,1265896,1265896,1262.1990313208653
11,1265896,1265896,1218.615833759719
12,1265896,1266828,1181.3208674563866
13,1266828,1269858,1148.9369685991132
14,1269858,1269858,1120.4725857248293
15,1269858,1270017,1095.1939877349753
16,1270017,1270017,1072.5454596703623
17,1270017,1270017,1052.0976245106779
18,1270017,1270017,1033.51292005801
19,1270017,1272312,1016.5219048291191
20,1272312,1272312,1000.9066070959426
21,1272312,1272312,986.4885766591387
22,1272312,1283149,973.1201505296569
23,1283149,1283149,960.6779610596741
24,1283149,1291887,949.0580380903052
25,1291887,1292033,938.1720633703723
26,1292033,1292033,927.9444706991867
27,1292033,1292033,918.310175468641
28,1292033,1292033,909.2127785935825
29,1292033,1292033,900.6031321860227
30,1292033,1292033,892.4381840533985
31,1292033,1292033,884.6800392512711
32,1292033,1292033,877.2951921666291
33,1292033,1292033,870.2538937307017
34,1292033,1292033,863.5296265661525
35,1292033,1292099,857.098666991017
36,1292099,1292099,850.9397174068893
37,1292099,1292371,845.0335960972587
38,1292371,1292371,839.3629741423484
39,1292371,1292371,833.9121512271008
40,1292371,1292371,828.6668637301451
41,1292371,1292371,823.6141197444342
42,1292371,1292371,818.7420566767883
43,1292371,1292371,814.0398178649853
44,1292371,1292371,809.4974452833795
45,1292371,1292371,805.1057859161477
46,1292371,1292371,800.8564097878158
47,1292371,1292371,796.7415379741731
48,1292371,1292371,792.7539791888348
49,1292371,1292371,788.887073763907
50,1292371,1292371,785.1346440270657
51,1292371,1292371,781.4909502294763
52,1292371,1292371,777.9506513053348
53,1292371,1292371,774.5087698492121
54,1292371,1292371,771.1606607856085
55,1292371,1292371,767.9019832792587
56,1292371,1292371,764.7286754972383
57,1292371,1292371,761.6369318867963
58,1292371,1292471,758.6231826777255
59,1292471,1292471,755.6840753562817
60,1292471,1294227,752.816457890294
61,1294227,1294227,750.0173635130442
62,1294227,1294227,747.2839968974868
63,1294227,1294311,744.613721573038
64,1294311,1294311,742.0040484549914
